step,normal,SAR
363,331,0
364,347,0
365,359,0
366,359,0
367,355,0
368,356,0
369,351,0
370,337,0
371,318,0
372,336,0
373,326,0
374,333,0
375,342,0
376,356,0
377,343,0
378,341,0
379,328,0
380,326,0
381,337,0
382,344,0
383,347,0
384,345,0
385,340,0
386,347,0
387,337,0
388,328,0
389,319,0
390,326,0
391,322,0
392,346,0
393,340,0
394,328,0
395,327,0
396,340,0
397,330,0
398,308,0
399,320,0
400,315,0
401,322,0
402,327,0
403,343,0
404,344,0
405,341,0
406,341,0
407,328,0
408,317,0
409,302,0
410,313,0
411,327,0
412,322,0
413,333,0
414,329,1
415,341,0
416,341,0
417,321,0
418,314,0
419,315,0
420,314,0
421,327,0
422,309,0
423,302,0
424,300,0
425,300,0
426,314,0
427,307,0
428,318,0
429,329,1
430,325,0
431,330,0
432,320,0
433,321,0
434,312,0
435,332,0
436,335,0
437,319,0
438,319,0
439,330,0
440,316,0
441,301,0
442,302,0
443,313,0
444,321,0
445,322,0
446,340,0
447,328,0
448,308,0
449,307,1
450,312,0
451,304,0
452,307,0
453,319,0
454,318,0
455,319,0
456,319,0
457,305,0
458,303,0
459,301,0
460,310,2
461,320,0
462,332,2
463,325,0
464,314,0
465,313,1
466,323,0
467,313,0
468,306,0
469,309,0
470,318,0
471,305,0
472,299,1
473,297,0
474,301,0
475,308,0
476,312,0
477,304,0
478,310,0
479,319,0
480,317,0
481,325,0
482,330,0
483,326,0
484,302,0
485,294,0
486,305,0
487,303,0
488,309,0
489,295,0
490,308,0
491,304,0
492,308,0
493,319,5
494,316,0
495,315,0
496,299,0
497,296,0
498,304,0
499,299,0
500,301,0
501,301,0
502,308,0
503,290,0
504,302,0
505,308,0
506,307,0
507,303,0
508,285,0
509,287,0
510,294,0
511,298,0
512,301,0
513,297,0
514,302,0
515,315,0
516,314,0
517,312,0
518,302,0
519,302,0
520,304,0
521,312,0
522,319,0
523,278,0
524,287,0
525,290,0
526,307,0
527,304,0
528,303,0
529,302,0
530,317,0
531,313,0
532,300,0
533,300,0
534,292,0
535,284,0
536,304,0
537,302,0
538,283,0
539,272,0
540,286,0
541,290,0
542,284,0
543,275,0
544,271,0
545,289,0
546,302,0
547,296,0
548,300,0
549,272,0
550,281,0
551,289,0
552,294,0
553,290,0
554,302,0
555,327,2
556,315,0
557,308,0
558,290,3
559,282,0
560,279,0
561,287,0
562,293,0
563,300,0
564,288,0
565,304,0
566,308,0
567,303,0
568,291,0
569,283,0
570,284,0
571,298,0
572,286,0
573,283,0
574,294,0
575,288,0
576,284,0
577,284,0
578,280,0
579,282,0
580,282,0
581,284,0
582,294,0
583,294,0
584,293,0
585,304,0
586,283,0
587,291,0
588,281,0
589,282,0
590,270,0
591,265,0
592,271,0
593,288,0
594,297,0
595,282,0
596,282,0
597,280,0
598,279,0
599,290,0
600,275,0
601,292,0
602,301,0
603,309,0
604,305,0
605,314,0
606,298,0
607,298,0
608,286,0
609,279,0
610,275,0
611,293,0
612,271,0
613,280,0
614,270,0
615,256,0
616,263,0
617,269,0
618,270,0
619,284,0
620,283,0
621,289,0
622,293,0
623,298,0
624,271,0
625,266,0
626,263,0
627,273,0
628,265,0
629,275,0
630,272,0
631,278,0
632,289,1
633,280,0
634,279,0
635,270,0
636,283,0
637,286,0
638,290,0
639,276,0
640,263,0
641,262,0
642,266,0
643,271,0
644,286,0
645,289,0
646,288,0
647,286,0
648,273,0
649,275,0
650,288,0
651,280,0
652,271,0
653,277,0
654,268,0
655,262,0
656,268,0
657,279,0
658,284,0
659,273,0
660,270,0
661,259,0
662,255,0
663,276,0
664,281,0
665,265,0
666,279,0
667,277,0
668,261,0
669,272,0
670,303,0
671,297,0
672,277,0
673,262,0
674,287,0
675,286,0
676,278,0
677,272,0
678,258,0
679,254,0
680,262,0
681,279,0
682,283,0
683,285,0
684,266,0
685,272,0
686,277,0
687,267,0
688,252,0
689,244,0
690,266,0
691,284,0
692,274,0
693,268,0
694,272,0
695,276,0
696,274,0
697,278,0
698,277,0
699,269,0
700,274,0
701,269,0
702,266,0
703,271,0
704,262,0
705,254,0
706,260,0
707,253,0
708,265,0
709,266,0
710,276,0
711,276,0
712,277,0
713,289,1
714,291,0
715,299,0
716,291,0
717,282,0
718,291,0
719,292,0
